s0, s1, s2, s3, TMR1
  16,   52,  588,  888,   38
  16,   68,  664,  804,   43
  12,   92,  716,  696,   47
  24,  108,  828,  688,   51
  24,  100,  852,  580,   56
  24,  140,  896,  504,   60
  20,  156,  952,  448,   65
  16,  164,  992,  408,   69
  16,  176, 1000,  372,   73
  20,  192, 1000,  356,   78
  24,  204, 1000,  336,   83
  20,  228, 1000,  316,   90
  16,  240, 1000,  304,   96
  20,  260, 1000,  296,  101
  32,  296, 1000,  308,  107
  36,  296, 1000,  308,  112
  36,  308, 1000,  284,  118
  24,  296, 1000,  260,  124
  20,  296, 1000,  244,  129
  16,  300, 1000,  212,  135
  12,  304, 1000,  212,  140
  24,  332, 1000,  220,  146
  16,  324, 1000,  212,  152
  32,  368, 1000,  232,  157
  32,  376, 1000,  204,  163
  32,  356, 1000,  208,  168
  32,  364, 1000,  204,  174
  32,  364, 1000,  204,  180
  20,  368, 1000,  184,  185
  28,  364, 1000,  168,  191
  12,  348, 1000,  188,  196
  12,  372, 1000,  180,  202
  12,  368, 1000,  176,  207
  12,  356, 1000,  176,  213
  12,  360, 1000,  180,  219
  12,  368, 1000,  180,  224
  12,  364, 1000,  180,  230
  20,  388, 1000,  192,  235
  20,  380, 1000,  196,  241
  12,  356, 1000,  172,  247
  20,  360, 1000,  156,  252
  12,  356, 1000,  176,    2
  16,  364, 1000,  176,    7
  20,  360, 1000,  160,   13
  20,  364, 1000,  156,   18
   4,  364, 1000,  168,   24
   4,  352, 1000,  164,   30
   4,  344, 1000,  168,   35
   4,  352, 1000,  168,   41
   4,  352, 1000,  172,   46
   0,  344, 1000,  168,   52
  12,  344, 1000,  188,   58
  12,  368, 1000,  188,   63
   4,  340, 1000,  180,   69
   8,  348, 1000,  180,   74
   8,  348, 1000,  184,   80
   8,  336, 1000,  184,   86
  16,  356, 1000,  188,   91
  20,  360, 1000,  188,   97
  16,  364, 1000,  192,  102
  16,  364, 1000,  196,  108
   8,  328, 1000,  180,  114
   0,  316, 1000,  180,  119
   4,  312, 1000,  160,  125
  12,  312, 1000,  172,  130
  12,  340, 1000,  184,  136
   4,  316, 1000,  168,  141
   0,  312, 1000,  164,  147
   0,  308, 1000,  180,  153
   0,  296, 1000,  180,  158
   0,  304, 1000,  180,  164
   0,  304, 1000,  180,  169
  12,  320, 1000,  192,  175
   4,  300, 1000,  188,  181
  16,  324, 1000,  220,  186
   8,  312, 1000,  188,  192
   8,  304, 1000,  184,  197
  16,  320, 1000,  220,  203
   8,  296, 1000,  180,  209
   4,  288, 1000,  184,  214
   4,  296, 1000,  188,  220
   8,  300, 1000,  188,  225
   8,  292, 1000,  208,  231
   8,  292, 1000,  188,  237
   8,  284, 1000,  208,  242
   8,  284, 1000,  184,  248
   4,  292, 1000,  184,  253
  16,  304, 1000,  220,    3
   4,  292, 1000,  188,    9
   8,  288, 1000,  212,   14
   8,  280, 1000,  208,   20
  12,  288, 1000,  216,   25
  24,  308, 1000,  244,   31
  24,  308, 1000,  220,   37
  12,  284, 1000,  212,   42
  20,  296, 1000,  224,   48
  20,  296, 1000,  220,   53
  20,  292, 1000,  224,   59
  20,  304, 1000,  232,   65
  12,  272, 1000,  228,   70
  20,  276, 1000,  232,   76
  16,  288, 1000,  236,   81
  20,  268, 1000,  240,   87
  28,  272, 1000,  232,   92
  32,  272, 1000,  248,   98
  20,  280, 1000,  256,  104
  40,  312, 1000,  280,  109
  36,  300, 1000,  280,  115
  24,  280, 1000,  260,  120
  32,  296, 1000,  280,  126
  28,  292, 1000,  272,  132
  24,  296, 1000,  268,  137
  12,  264, 1000,  244,  143
  24,  288, 1000,  268,  148
  12,  264, 1000,  240,  154
  12,  264, 1000,  244,  160
  20,  296, 1000,  264,  165
  20,  296, 1000,  264,  171
  16,  272, 1000,  260,  176
  16,  276, 1000,  256,  182
  16,  272, 1000,  264,  188
  20,  300, 1000,  272,  193
   8,  264, 1000,  244,  199
  20,  280, 1000,  268,  204
  20,  272, 1000,  264,  210
  20,  276, 1000,  264,  216
  12,  260, 1000,  232,  221
   0,  260, 1000,  232,  227
   0,  248, 1000,  228,  232
   4,  244, 1000,  216,  238
   0,  240, 1000,  208,  243
   0,  256, 1000,  224,  249
   0,  236, 1000,  228,  255
   0,  240, 1000,  216,    4
   0,  240, 1000,  220,   10
   0,  240, 1000,  208,   15
   0,  256, 1000,  208,   21
   0,  236, 1000,  212,   27
   0,  240, 1000,  208,   32
   8,  268, 1000,  244,   38
   4,  248, 1000,  216,   43
  12,  284, 1000,  252,   49
   8,  268, 1000,  240,   55
  16,  268, 1000,  256,   60
  16,  276, 1000,  256,   66
  12,  272, 1000,  252,   71
   4,  268, 1000,  216,   77
  12,  276, 1000,  244,   83
   8,  276, 1000,  240,   88
   8,  272, 1000,  244,   94
