s0, s1, s2, s3, TMR1
   0,    0,    0,    0,  103
   0,    0,    0,   60,  108
   0,    0,    0,   80,  112
   0,    0,    4,  104,  117
   0,    4,    4,  124,  122
   4,    0,    4,  152,  126
   0,    0,    8,  188,  131
   4,    0,   12,  216,  135
   4,    0,   16,  264,  140
  12,    0,   16,  308,  144
   4,    0,   24,  348,  149
  16,    8,   36,  408,  153
   0,    0,   48,  436,  158
   4,    0,   40,  468,  162
   4,    0,   40,  492,  167
   4,    0,   48,  532,  171
   0,   20,   48,  572,  176
   0,    0,   40,  604,  180
   0,   20,   56,  632,  185
   4,    0,   64,  672,  189
   8,   12,   68,  704,  194
   0,    0,   84,  720,  198
  16,   16,   88,  780,  203
  12,   12,  100,  796,  208
   4,    4,   96,  780,  212
   8,    0,  100,  788,  217
  16,    8,  108,  800,  221
  12,   12,  108,  804,  226
   4,    8,  120,  836,  230
  16,   12,  140,  856,  235
   8,    0,  124,  860,  239
   8,   16,  152,  892,  244
   8,    4,  152,  916,  248
   8,   36,  160,  936,  253
   4,    0,  160,  912,    1
  16,   24,  168,  860,    6
   4,   16,  176,  868,   10
   8,   16,  184,  944,   15
  16,   16,  196,  976,   20
   8,   16,  196, 1000,   24
   8,    8,  212, 1000,   29
  16,   28,  244, 1000,   33
  12,   20,  232,  996,   38
   4,    4,  228,  996,   42
   4,   20,  252, 1000,   47
   4,   12,  264, 1000,   51
   4,    8,  288, 1000,   56
   8,   40,  292, 1000,   60
   8,   48,  296,  948,   65
   4,   36,  308,  988,   69
  12,   32,  332, 1000,   74
   8,   28,  348, 1000,   78
   4,   24,  364, 1000,   83
  12,   44,  396, 1000,   87
   4,   32,  372,  976,   92
   4,   64,  396, 1000,   96
   4,   40,  424, 1000,  101
   4,   72,  440,  996,  106
   4,   48,  456,  932,  110
  12,   60,  456,  896,  115
   4,   52,  480,  908,  119
   4,   52,  516,  920,  124
   8,   80,  528,  928,  128
   4,   56,  532,  892,  133
  12,   68,  568,  884,  137
   8,   64,  564,  876,  142
   8,   68,  576,  872,  146
