sensor0, sensor1, sensor2, sensor3, TMR3
   0,    0,   16,  220,  684
   0,    0,   20,  256,  684
   4,    0,   24,  296,  684
  16,   12,   40,  372,  684
  12,    8,   36,  420,  684
   0,    0,   28,  444,  684
   4,    4,   32,  488,  684
   4,    8,   36,  528,  684
   4,    4,   60,  560,  684
   8,   12,   68,  572,  684
   8,   12,   68,  612,  684
   8,   12,   68,  636,  684
  16,    8,   72,  668,  684
  12,   28,   56,  696,  684
   4,   16,   72,  720,  684
  24,   16,   80,  800,  684
   0,    8,   72,  784,  684
   0,   12,   68,  800,  684
  16,   20,   92,  796,  684
   4,   16,   96,  804,  684
  16,   16,  116,  840,  684
   8,   20,  108,  872,  684
  20,   32,  100,  884,  684
  12,    4,  112,  880,  684
  32,   32,  136,  964,  684
  16,    4,  120,  948,  684
   0,    4,  120,  948,  684
   4,   12,  124,  936,  684
   0,   28,  120,  928,  684
   4,   16,  128,  920,  684
   4,   20,  128,  964,  684
   4,   20,  152, 1000,  684
  16,   20,  140, 1000,  684
  12,   24,  160, 1000,  684
  16,   32,  168, 1000,  684
  12,   32,  184, 1000,  684
   8,   24,  180, 1000,  684
  24,   32,  208, 1000,  684
  28,   40,  204, 1000,  684
  12,   28,  204, 1000,  684
   4,   28,  208, 1000,  684
   4,   28,  212, 1000,  684
   4,   20,  216, 1000,  684
   0,   32,  220, 1000,  684
   4,   24,  232, 1000,  684
   4,   24,  248, 1000,  684
   0,   24,  252, 1000,  684
   0,   32,  276, 1000,  684
   4,   32,  284, 1000,  684
   4,   44,  308, 1000,  684
   8,   40,  324, 1000,  688
  20,   36,  340, 1000,  688
  12,   48,  356, 1000,  688
  32,   56,  400, 1000,  688
  12,   48,  400, 1000,  688
  12,   48,  404, 1000,  688
  12,   48,  420, 1000,  688
  12,   48,  424, 1000,  688
  12,   48,  432, 1000,  688
   8,   64,  444,  972,  688
  12,   56,  460,  968,  688
  16,   60,  484,  980,  688
  20,   64,  508,  940,  688
  40,   92,  560,  976,  688
  28,   72,  544,  864,  688
  32,   76,  576,  840,  688
  36,   80,  592,  832,  688
  32,   76,  616,  852,  688
  24,   96,  624,  824,  688
  40,   96,  628,  800,  688
  36,  112,  628,  776,  688
  40,  116,  700,  820,  688
  32,  104,  652,  768,  688
  32,  104,  672,  732,  688
  36,  112,  688,  700,  688
  32,  108,  684,  672,  688
  28,  104,  724,  696,  688
  28,  100,  720,  680,  688
  28,  100,  704,  648,  688
  32,  112,  724,  632,  688
  48,  132,  788,  680,  688
  32,  108,  756,  616,  688
  36,  140,  768,  584,  688
  32,  136,  780,  552,  688
  44,  128,  824,  536,  688
  36,  144,  848,  540,  688
  36,  140,  836,  504,  688
  32,  136,  820,  492,  688
  32,  136,  844,  488,  688
  32,  132,  880,  484,  688
  24,  128,  864,  464,  688
  36,  140,  872,  432,  688
  28,  156,  904,  420,  688
  36,  140,  936,  412,  688
  32,  160,  928,  408,  688
  32,  160,  920,  400,  688
  32,  164,  932,  392,  688
  28,  176,  960,  376,  688
  44,  200,  988,  408,  688
  32,  192,  976,  344,  688
  36,  188, 1000,  352,  688
  32,  196,  972,  344,  688
  40,  224, 1000,  352,  688
  48,  240, 1000,  340,  688
  28,  232,  996,  300,  688
  28,  236,  976,  276,  688
  36,  248, 1000,  264,  692
  32,  268, 1000,  256,  692
  20,  276,  984,  240,  692
  28,  284, 1000,  236,  692
  28,  304, 1000,  228,  692
  32,  300,  976,  204,  692
  40,  332, 1000,  236,  692
  48,  344, 1000,  228,  692
  24,  324,  936,  200,  692
  24,  328, 1000,  184,  692
  32,  340,  956,  180,  692
  36,  336,  972,  188,  692
  28,  348, 1000,  192,  692
  28,  356,  952,  192,  692
  32,  352,  948,  180,  692
  32,  368,  972,  200,  692
  40,  408,  976,  216,  692
  40,  388, 1000,  184,  692
  24,  376,  964,  160,  692
  28,  376,  900,  164,  692
  28,  380,  984,  172,  692
  32,  376,  908,  168,  692
  40,  372,  968,  156,  692
  36,  376,  976,  152,  692
  28,  388,  904,  164,  692
  28,  396,  956,  164,  692
  32,  396,  904,  144,  692
  32,  416,  992,  148,  692
  32,  388,  952,  140,  692
  24,  392,  900,  132,  692
  20,  388,  932,  128,  692
  20,  392,  916,  124,  692
  24,  380,  956,  128,  692
  32,  380,  972,  140,  692
  20,  388,  924,  124,  692
  20,  380,  928,  124,  692
  24,  400,  920,  128,  692
  24,  392,  952,  128,  692
  24,  400,  956,  132,  692
  32,  416,  972,  144,  692
  32,  384,  932,  144,  692
  16,  388,  928,  148,  692
  12,  372,  952,  144,  692
  12,  356,  968,  144,  692
   8,  352,  932,  140,  692
  12,  340,  952,  140,  696
  12,  356,  932,  144,  696
  12,  352,  972,  156,  696
  36,  360, 1000,  180,  696
  12,  348,  960,  156,  696
  16,  332,  972,  172,  696
  20,  344,  932,  152,  696
  12,  340, 1000,  164,  696
  20,  328,  996,  168,  696
  20,  332,  972,  168,  696
  12,  344,  988,  172,  696
  16,  340,  940,  148,  696
  28,  336, 1000,  164,  696
  24,  324,  980,  172,  696
  28,  352,  960,  176,  696
  44,  368, 1000,  188,  696
  40,  356,  928,  184,  696
  24,  348,  992,  184,  696
  28,  340,  984,  188,  696
  24,  336,  960,  188,  696
  32,  328,  980,  188,  696
  20,  340,  968,  184,  696
  20,  328, 1000,  180,  696
  20,  316,  980,  188,  696
  28,  340, 1000,  180,  696
  36,  348, 1000,  204,  696
  20,  316,  964,  184,  696
  20,  320, 1000,  184,  696
  28,  312, 1000,  192,  696
  24,  316,  988,  176,  696
  12,  320,  980,  200,  696
  28,  316,  968,  204,  696
  28,  312, 1000,  196,  696
  28,  296,  988,  192,  696
  40,  332, 1000,  220,  696
  28,  292, 1000,  216,  696
  24,  296,  972,  216,  696
  12,  288, 1000,  212,  696
  20,  280, 1000,  204,  696
   8,  284, 1000,  216,  696
   8,  284, 1000,  220,  696
   8,  288,  976,  220,  696
  20,  300, 1000,  240,  696
  28,  292, 1000,  232,  696
   8,  276, 1000,  224,  696
   8,  276, 1000,  224,  696
  20,  280,  984,  208,  700
  12,  276, 1000,  220,  700
  12,  276, 1000,  224,  700
  12,  272, 1000,  228,  700
  12,  264, 1000,  232,  700
  16,  268,  992,  212,  700
  12,  268, 1000,  232,  700
  16,  260, 1000,  232,  700
  24,  256, 1000,  244,  700
  28,  264, 1000,  236,  700
   8,  248,  976,  240,  700
  12,  252, 1000,  244,  700
  20,  272, 1000,  264,  700
   8,  240, 1000,  232,  700
  12,  252, 1000,  236,  700
  16,  268,  964,  260,  700
  28,  252, 1000,  264,  700
  28,  252, 1000,  268,  700
  16,  272, 1000,  264,  700
  20,  252, 1000,  264,  700
  28,  268, 1000,  284,  700
  24,  260, 1000,  276,  700
  20,  228, 1000,  244,  700
   8,  228, 1000,  244,  700
  12,  220, 1000,  256,  700
  24,  216,  996,  256,  700
   4,  220, 1000,  256,  700
   4,  216, 1000,  252,  700
   8,  216, 1000,  252,  700
  20,  240, 1000,  288,  700
   8,  224, 1000,  236,  700
   8,  224, 1000,  240,  700
  12,  224, 1000,  264,  700
   8,  228, 1000,  268,  700
  28,  232, 1000,  272,  700
  12,  240, 1000,  252,  700
   8,  236, 1000,  248,  700
  16,  248, 1000,  264,  700
  12,  220, 1000,  232,  700
   4,  220, 1000,  264,  700
  12,  228,  996,  244,  700
  16,  232, 1000,  248,  700
  28,  228, 1000,  244,  700
  28,  248,  996,  264,  700
  28,  240, 1000,  256,  700
  36,  264, 1000,  284,  700
  20,  256, 1000,  244,  704
  20,  252, 1000,  244,  704
  16,  244,  992,  256,  704
  24,  244, 1000,  256,  704
  20,  264, 1000,  236,  704
  20,  264, 1000,  260,  704
  28,  268, 1000,  260,  704
  28,  268,  992,  264,  704
  40,  296, 1000,  288,  704
  36,  276, 1000,  268,  704
  28,  280, 1000,  244,  704
  24,  264, 1000,  256,  704
  28,  256,  972,  248,  704
  20,  264, 1000,  232,  704
  20,  264,  984,  236,  704
  16,  252, 1000,  236,  704
   8,  252, 1000,  236,  704
  32,  272, 1000,  260,  704
   8,  240, 1000,  232,  704
  20,  268,  960,  232,  704
  24,  252, 1000,  244,  704
  28,  264, 1000,  244,  704
  16,  264, 1000,  232,  704
