Sensor0, Sensor1, Sensor2, Sensor3, Sensor4
   0,    0,   36,  528,  152
   0,    4,   36,  596,  132
   4,    0,   72,  636,  108
   0,    4,   76,  712,  100
   4,   12,   84,  772,   92
   0,    4,  116,  804,   80
   8,   28,  116,  852,   68
   4,   12,  128,  884,   64
   8,    8,  136,  904,   72
  12,   20,  136,  932,   60
   8,   12,  168,  968,   52
   4,   12,  160, 1000,   48
   8,   12,  196, 1000,   32
   4,   16,  212, 1000,   28
   4,   28,  228, 1000,   48
   4,   36,  248, 1000,   48
  20,   36,  276, 1000,   44
  12,   32,  292, 1000,   36
  16,   36,  304, 1000,   40
  28,   36,  320, 1000,   52
  20,   40,  348, 1000,   48
  20,   60,  364, 1000,   48
  24,   36,  384, 1000,   48
  20,   48,  408, 1000,   44
  20,   56,  416, 1000,   48
  16,   36,  428, 1000,   40
  16,   56,  436, 1000,   40
  28,   80,  456, 1000,   36
  24,   80,  472, 1000,   32
  28,   60,  516, 1000,   52
  16,   52,  488,  996,   44
  20,   64,  488,  984,   44
  32,   64,  496, 1000,   40
  20,   64,  512, 1000,   44
  20,   48,  528,  988,   44
  16,   48,  536,  964,   40
  16,   72,  540,  940,   40
  20,   52,  552,  908,   28
  16,   68,  548,  964,   24
  24,   48,  580, 1000,   48
  12,   72,  556,  960,   40
  12,   64,  576,  948,   36
  16,   64,  588,  924,   20
  20,   56,  596,  908,   28
  28,   40,  588,  896,   36
  28,   68,  616,  912,   36
  16,   72,  632,  892,   24
  32,   80,  688,  940,   56
  16,   52,  660,  848,   40
  24,   76,  644,  836,   28
  20,   68,  636,  844,   24
  20,   72,  656,  864,   28
   8,   88,  680,  860,   16
  24,   80,  692,  848,   32
  20,   76,  684,  832,   28
  12,   88,  680,  812,   16
  20,   88,  744,  880,   44
  12,   88,  708,  840,   16
  28,   80,  708,  784,   32
  24,   76,  716,  788,   32
  24,   60,  716,  780,   32
  24,   76,  712,  800,    8
  20,   60,  752,  780,    0
  12,   88,  764,  776,   16
  16,   68,  748,  748,   24
   4,   80,  760,  744,   12
   0,   76,  776,  760,    8
  20,  100,  840,  788,   24
  12,   92,  840,  748,   20
   0,   72,  776,  684,    4
   4,   76,  776,  704,    8
   4,   72,  820,  692,    4
