Sensor0, Sensor1, Sensor2, Sensor3, Sensor4
   0,    0,  172, 1000,   36
   0,    0,  200, 1000,   36
   0,    0,  220, 1000,   20
   0,    4,  284, 1000,   28
   0,    8,  328, 1000,   20
   8,   32,  380, 1000,    8
   8,   32,  440, 1000,   36
   4,   52,  500, 1000,   32
   8,   60,  556,  980,   40
  24,   76,  616,  932,   36
  12,   68,  660,  892,   40
  12,   80,  720,  848,   40
  20,   72,  764,  780,   32
   8,   72,  800,  724,   36
  16,   80,  848,  692,   20
   4,  100,  900,  632,    0
   4,   72,  948,  600,   16
   4,  100,  984,  568,    0
   0,   96, 1000,  520,   32
   0,  124, 1000,  512,   32
  16,  120, 1000,  484,   28
  32,  140, 1000,  488,   40
  20,  124, 1000,  436,   32
  24,  128, 1000,  408,   32
   4,  152, 1000,  404,   36
  20,  148, 1000,  364,   28
  16,  152, 1000,  352,   24
  16,  164, 1000,  360,   28
  20,  164, 1000,  352,   12
  16,  168, 1000,  344,   12
  16,  192, 1000,  336,   28
  32,  216, 1000,  352,   40
  24,  212, 1000,  300,   28
  28,  220, 1000,  312,   32
  20,  232, 1000,  296,   32
   8,  224, 1000,  268,   20
   8,  228, 1000,  268,   16
  24,  264, 1000,  276,   32
  16,  252, 1000,  224,   24
  16,  268, 1000,  236,   28
  12,  272, 1000,  240,   24
  20,  288, 1000,  240,   28
  24,  296, 1000,  236,   28
  24,  288, 1000,  236,   16
  16,  284, 1000,  232,   24
  16,  284, 1000,  216,   24
  32,  292, 1000,  260,   24
  16,  280, 1000,  240,   28
  16,  272, 1000,  244,   28
  16,  272, 1000,  240,    8
  16,  272, 1000,  240,   28
  16,  272, 1000,  232,   20
  16,  272, 1000,  232,   20
  24,  280, 1000,  228,   20
  16,  284, 1000,  208,    8
  36,  308, 1000,  244,   32
  20,  272, 1000,  228,   20
  24,  292, 1000,  220,   20
  20,  296, 1000,  220,   24
  20,  288, 1000,  236,    8
  20,  288, 1000,  232,   28
  16,  292, 1000,  236,   20
  24,  288, 1000,  236,   16
  28,  284, 1000,  228,   20
  32,  296, 1000,  244,   24
  44,  316, 1000,  244,   32
  20,  288, 1000,  236,   20
  24,  292, 1000,  220,   20
  20,  292, 1000,  212,   16
