Sensor0, Sensor1, Sensor2, Sensor3, Sensor4
   8,   96,  836,  496,   20
   8,   92,  916,  440,   16
  12,  124,  992,  372,    0
   0,  132, 1000,  324,    0
   4,  152, 1000,  284,    0
   0,  188, 1000,  248,    8
  24,  220, 1000,  228,   16
  24,  268, 1000,  200,   16
  20,  296, 1000,  184,   12
  20,  324, 1000,  164,   12
  28,  360, 1000,  140,   16
  16,  384,  984,  128,   16
  16,  412,  956,  128,   16
  28,  440,  916,  116,   16
  24,  476,  884,  112,   16
  40,  532,  884,  112,   16
  24,  524,  796,   84,   16
  24,  556,  776,   88,    0
  24,  600,  768,   72,    8
  24,  628,  736,   80,   16
  20,  668,  716,   76,   12
  20,  692,  668,   60,    0
  20,  712,  648,   72,    8
  24,  708,  616,   60,    0
  32,  704,  624,   52,   12
  24,  720,  624,   56,    0
  28,  776,  596,   64,    0
  24,  780,  580,   60,    0
  20,  768,  572,   56,    0
  20,  804,  584,   52,    0
  20,  804,  560,   52,    0
  20,  796,  536,   52,    0
  20,  748,  584,   52,    0
  20,  752,  588,   60,    0
  20,  788,  576,   36,    4
  32,  804,  628,   76,   12
  20,  776,  600,   60,    0
  12,  764,  576,   36,    8
  16,  712,  616,   56,    0
  28,  688,  648,   60,    0
  16,  716,  656,   64,    4
  16,  680,  656,   52,    0
  16,  688,  692,   64,    4
  16,  656,  684,   64,    4
  28,  660,  796,   84,   16
  20,  600,  748,   76,   12
  16,  592,  736,   68,    8
  24,  592,  788,   76,   12
  28,  564,  768,   84,   16
  24,  548,  840,   84,   16
  24,  524,  852,   88,    0
  20,  504,  848,  108,   12
  40,  508,  944,  132,   32
  28,  472,  884,  120,   20
  24,  448,  972,  112,   16
  28,  424,  964,  116,   20
  32,  400,  972,  124,   20
  32,  372, 1000,  148,   20
  24,  368,  976,  136,   24
  28,  340, 1000,  140,   24
  28,  328, 1000,  172,   28
  28,  308, 1000,  184,   12
  40,  320, 1000,  204,   24
  32,  288, 1000,  196,   28
  40,  280, 1000,  208,    8
  24,  264, 1000,  216,   16
  36,  252, 1000,  236,   24
  24,  244, 1000,  232,   28
  24,  240, 1000,  248,    8
  36,  244, 1000,  276,   24
